_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight,avg_salary
collija04,"December 2, 1978","Northridge, California",0.9,41.1,20.6,64.7,735.0,7.0,3.6,3.7,20.1,41.2,Stanford University,18th overall,1st round,Houston Rockets,2001.0,7-0,"Harvard-Westlake School in North Hollywood, California",Jason Collins,Power Forward and Center,Right,255lb,1500817.1
collijo01,"September 23, 1997","Layton, Utah",1.6,56.6,34.6,74.3,135.0,20.1,14.6,8.4,11.4,59.2,Wake Forest University,19th overall,1st round,Atlanta Hawks,2017.0,6-10,"Cardinal Newman in West Palm Beach, Florida",John Collins,Power Forward,Right,235lb,2847377.5
collima01,"August 4, 1984","Philadelphia, Pennsylvania",1.7,38.0,29.9,59.9,189.0,7.9,3.9,1.8,-1.6,40.5,Temple University,29th overall,1st round,New York Knicks,2006.0,6-6,"Simon Gratz in Philadelphia, Pennsylvania",Mardy Collins,Shooting Guard and Point Guard and Small Forward,Right,220lb,1936920.0
colliza01,"November 19, 1997","Las Vegas, Nevada",0.9,44.1,32.1,72.0,143.0,10.9,5.6,3.8,3.6,49.6,Gonzaga University,10th overall,1st round,Sacramento Kings,2017.0,7-0,"Bishop Gorman in Las Vegas, Nevada",Zach Collins,Center,Right,235lb,4021509.47
collida01,"August 23, 1987","Rancho Cucamonga, California",5.0,47.1,39.4,85.3,708.0,16.2,12.5,2.7,49.9,51.7,"University of California, Los Angeles",21st overall,1st round,New Orleans Hornets,2009.0,6-0,"Etiwanda in Rancho Cucamonga, California",Darren Collison,Point Guard,Right,175lb,473604.0
collini01,"October 26, 1980","Orange City, Iowa",1.0,53.4,20.8,72.3,910.0,13.2,5.9,5.2,44.5,53.6,University of Kansas,12th overall,1st round,Seattle SuperSonics,2003.0,6-10,"Iowa Falls in Iowa Falls, Iowa",Nick Collison,Power Forward and Center,Right,255lb,3057240.0
comegda01,"August 17, 1964","Philadelphia, Pennsylvania",0.7,45.7,0.0,68.2,142.0,10.7,6.0,3.2,1.1,45.7,DePaul University,21st overall,1st round,Atlanta Hawks,1987.0,6-9,"Roman Catholic in Philadelphia, Pennsylvania",Dallas Comegys,Power Forward,Right,205lb,145000.0
conlemi01,"October 11, 1987","Fayetteville, Arkansas",5.7,44.1,37.5,81.9,788.0,17.7,14.9,3.0,71.4,49.8,Ohio State University,4th overall,1st round,Memphis Grizzlies,2007.0,6-1,"Lawrence North in Indianapolis, Indiana",Mike Conley,Point Guard,Left,175lb,10115923.18
connapa01,"January 6, 1993","Arlington, Massachusetts",1.2,43.9,34.9,79.6,216.0,11.0,4.6,2.3,6.8,53.3,University of Notre Dame,41st overall,2nd round,Brooklyn Nets,2015.0,6-4,"St. John's Prep in Danvers, Massachusetts",Pat Connaughton,Shooting Guard,Right,209lb,957037.0
cookan01,"March 19, 1967","Los Angeles, California",0.3,43.9,0.0,52.4,116.0,11.0,3.6,3.7,1.0,43.9,University of Arizona,24th overall,1st round,Phoenix Suns,1989.0,6-9,"Van Nuys in Van Nuys, California",Anthony Cook,Power Forward,Right,205lb,459000.0
cookbr01,"December 4, 1980","Lincoln, Illinois",0.6,43.9,38.2,78.3,421.0,13.1,5.5,2.6,10.2,50.2,University of Illinois at Urbana-Champaign,24th overall,1st round,Los Angeles Lakers,2003.0,6-9,"Lincoln in Lincoln, Illinois",Brian Cook,Power Forward and Center,Right,234lb,1955569.33
cookda02,"April 28, 1987","Dayton, Ohio",0.7,36.9,35.9,81.3,328.0,9.1,6.4,2.1,4.9,47.6,Ohio State University,21st overall,1st round,Philadelphia 76ers,2007.0,6-5,"Paul Laurence Dunbar in Dayton, Ohio",Daequan Cook,Small Forward and Shooting Guard,Right,205lb,310000.0
coopedu01,"June 25, 1969","Benton Harbor, Michigan",2.0,40.2,21.6,72.0,88.0,7.7,2.3,0.7,-0.5,42.2,University of Southern California,36th overall,2nd round,Los Angeles Lakers,1992.0,6-1,"Lakewood in Lakewood, California",Duane Cooper,Point Guard,Right,185lb,145000.0
corbity01,"December 31, 1962","Columbia, South Carolina",1.8,45.6,29.9,79.1,1065.0,13.1,9.2,4.7,56.5,46.8,DePaul University,35th overall,2nd round,San Antonio Spurs,1985.0,6-6,"A.C. Flora in Columbia, South Carolina",Tyrone Corbin,Small Forward,Right,210lb,889064.29
corchch01,"March 28, 1968","Coral Gables, Florida",2.2,42.1,26.9,81.6,112.0,11.7,3.7,1.2,1.6,45.5,North Carolina State University,36th overall,2nd round,Orlando Magic,1991.0,6-0,"Hialeah-Miami Lakes in Hialeah, Florida",Chris Corchiani,Point Guard,Right,185lb,225000.0
couside01,"August 13, 1990","Mobile, Alabama",3.2,46.1,33.2,73.7,565.0,22.4,21.2,10.9,44.1,47.9,University of Kentucky,5th overall,1st round,Sacramento Kings,2010.0,6-11,"LeFlore Magnet in Mobile, Alabama",DeMarcus Cousins,Center,Right,270lb,9906497.25
crabbal01,"April 9, 1992","Los Angeles, California",1.2,42.9,39.3,83.5,344.0,11.1,9.5,2.9,13.8,53.6,University of California,31st overall,2nd round,Cleveland Cavaliers,2013.0,6-6,"Price in Los Angeles, California",Allen Crabbe,Shooting Guard,Right,212lb,9910444.0
crawfch01,"May 13, 1975","Kalamazoo, Michigan",0.6,43.7,34.7,82.4,252.0,12.9,6.6,2.2,6.5,46.2,Marquette University,50th overall,2nd round,Atlanta Hawks,1997.0,6-9,"Comstock in Kalamazoo, Michigan",Chris Crawford,Power Forward,Right,235lb,2036500.0
crawfja01,"March 20, 1980","Seattle, Washington",3.4,41.0,34.8,86.2,1326.0,15.1,14.6,2.2,60.6,47.7,University of Michigan,8th overall,1st round,Cleveland Cavaliers,2000.0,6-5,"Rainier Beach in Seattle, Washington",Jamal Crawford,Shooting Guard and Point Guard,Right,185lb,6278698.47
crawfjo02,"October 23, 1988","Detroit, Michigan",3.1,41.1,31.7,82.6,281.0,14.1,12.2,2.5,6.3,46.4,"Indiana University, Xavier University",27th overall,1st round,New Jersey Nets,2010.0,6-4,"Communication & Media Arts in Chatham, Virginia",Jordan Crawford,Shooting Guard and Point Guard,Right,195lb,1011160.67
crittja01,"December 31, 1987","Atlanta, Georgia",1.8,44.2,23.1,63.8,113.0,10.6,5.3,2.4,0.1,45.4,Georgia Institute of Technology,19th overall,1st round,Los Angeles Lakers,2007.0,6-5,"Southwest Atlanta Christian Academy in Atlanta, Georgia",Javaris Crittenton,Shooting Guard and Point Guard,Right,200lb,1381560.0
croshau01,"May 1, 1975","Los Angeles, California",1.0,40.7,34.0,86.1,659.0,14.3,6.8,4.0,27.6,46.6,Providence College,12th overall,1st round,Indiana Pacers,1997.0,6-9,"Crossroads School in Los Angeles, California",Austin Croshere,Power Forward,Right,235lb,4267814.31
crowdja01,"July 6, 1990","Villa Rica, Georgia",1.4,42.3,33.9,77.8,543.0,13.0,9.5,3.9,28.7,51.1,Marquette University,34th overall,2nd round,Cleveland Cavaliers,2012.0,6-6,"Villa Rica in Villa Rica, Georgia",Jae Crowder,Small Forward,Right,235lb,3564521.83
cummivo01,"February 29, 1976","Thomson, Georgia",2.7,38.3,32.1,72.6,199.0,11.8,6.9,1.9,2.2,42.3,University of Pittsburgh,26th overall,1st round,Indiana Pacers,1999.0,6-3,"Thomson in Thomson, Georgia",Vonteego Cummings,Point Guard,Right,185lb,757200.0
cunnida01,"April 22, 1987","Clinton, Maryland",0.7,46.9,34.5,64.9,715.0,11.1,5.8,3.7,24.9,49.8,Villanova University,33rd overall,2nd round,Portland Trail Blazers,2009.0,6-8,"Potomac in Dumfries, Virginia",Dante Cunningham,Power Forward and Small Forward,Right,230lb,1844441.67
cunnija01,"May 22, 1991","Oakland, California",0.5,34.7,30.6,67.4,84.0,6.8,2.3,0.7,0.2,40.2,Oregon State University,24th overall,1st round,Cleveland Cavaliers,2012.0,6-4,"San Leandro in San Leandro, California",Jared Cunningham,Shooting Guard,Right,195lb,850948.5
curlebi01,"May 29, 1972","Boston, Massachusetts",0.4,44.4,22.2,74.3,147.0,8.2,2.7,2.0,1.6,44.6,Boston College,22nd overall,1st round,San Antonio Spurs,1994.0,6-9,"Duxbury in Duxbury, Massachusetts",Bill Curley,Small Forward and Power Forward,Right,220lb,846020.88
curryde01,"June 25, 1964","Harrisonburg, Virginia",1.8,45.7,40.2,84.3,1083.0,16.0,11.7,2.4,41.5,51.3,Virginia Polytechnic Institute and State University,15th overall,1st round,Utah Jazz,1986.0,6-4,"Fort Defiance in Fort Defiance, Virginia",Dell Curry,Shooting Guard,Right,190lb,1416500.0
curryst01,"March 14, 1988","Akron, Ohio",6.6,47.7,43.6,90.5,694.0,23.8,23.5,4.5,102.9,58.2,Davidson College,7th overall,1st round,Golden State Warriors,2009.0,6-3,"Charlotte Christian in Charlotte, North Carolina",Stephen Curry,Point Guard,Right,190lb,10153645.78
dalemsa01,"May 10, 1981","Port-Au-Prince, Haiti",0.5,52.1,8.3,70.6,886.0,15.4,7.7,7.8,51.3,52.1,Seton Hall University,26th overall,1st round,Philadelphia 76ers,2001.0,6-11,"Saint Patrick in Elizabeth, New Jersey",Samuel Dalembert,Center,Right,255lb,6106117.67
dampier01,"July 14, 1975","Jackson, Mississippi",0.8,49.8,12.5,62.6,987.0,14.3,7.4,7.1,52.7,49.8,Mississippi State University,10th overall,1st round,Indiana Pacers,1996.0,6-11,"Lawrence County in Monticello, Mississippi",Erick Dampier,Center,Right,265lb,6122741.94
daniean01,"March 19, 1975","Columbus, Ohio",3.4,44.4,31.1,79.3,872.0,14.6,7.6,1.8,47.0,47.9,Bowling Green State University,4th overall,1st round,Vancouver Grizzlies,1997.0,6-4,"Saint Francis DeSales in Columbus, Ohio",Antonio Daniels,Shooting Guard and Point Guard,Right,195lb,3790416.92
dareyi01,"October 10, 1972","Kano, Nigeria",0.0,39.6,-,57.0,110.0,6.2,2.1,2.6,-0.7,39.6,George Washington University,14th overall,1st round,New Jersey Nets,1994.0,7-0,"Milford Academy in Milford, Connecticut",Yinka Dare,Center,Right,265lb,1442500.0
daughbr01,"October 19, 1965","Black Mountain, North Carolina",3.7,53.2,14.3,74.7,548.0,18.9,19.0,9.5,65.2,53.2,University of North Carolina,1st overall,1st round,Cleveland Cavaliers,1986.0,7-0,"Charles D. Owen in Swannanoa, North Carolina",Brad Daugherty,Center,Right,245lb,2389333.33
davidje01,"November 15, 1984","Atlanta, Georgia",0.3,42.5,-,57.8,52.0,10.5,3.1,1.8,0.0,42.5,University of Alabama,36th overall,2nd round,Golden State Warriors,2007.0,6-10,"Wheeler in Atlanta, Georgia",Jermareo Davidson,Small Forward,Right,230lb,247235.25
davisan02,"March 11, 1993","Chicago, Illinois",2.1,51.7,31.4,79.5,466.0,27.4,23.7,10.5,72.0,52.8,University of Kentucky,1st overall,1st round,New Orleans Hornets,2012.0,6-10,"Perspectives Charter School in Chicago, Illinois",Anthony Davis,Power Forward and Center,Right,253lb,6749230.77
davisan01,"October 31, 1968","Oakland, California",1.1,44.8,8.7,72.7,903.0,14.1,10.0,7.5,59.6,44.8,University of Texas at El Paso,45th overall,2nd round,Indiana Pacers,1990.0,6-9,"McClymonds in Oakland, California",Antonio Davis,Center and Power Forward,Right,215lb,11515044.33
davisba01,"April 13, 1979","Los Angeles, California",7.2,40.9,32.0,71.1,835.0,17.8,16.1,3.8,63.1,46.5,"University of California, Los Angeles",3rd overall,1st round,Charlotte Hornets,1999.0,6-3,"Crossroads in Santa Monica, California",Baron Davis,Point Guard,Right,209lb,9846198.87
davisbr02,"June 21, 1970","Atlantic City, New Jersey",0.3,31.7,33.3,73.5,68.0,9.2,1.9,0.8,0.0,32.1,Duke University,48th overall,2nd round,Phoenix Suns,1992.0,6-7,"Bladensburg in Bladensburg, Maryland",Brian Davis,Small Forward,Right,200lb,150000.0
davisda01,"March 25, 1969","Toccoa, Georgia",0.9,53.0,0.0,56.2,1094.0,15.2,8.0,7.9,86.9,53.0,Clemson University,13th overall,1st round,Indiana Pacers,1991.0,6-11,"Stephens County in Toccoa, Georgia",Dale Davis,Power Forward and Center,Right,230lb,4830122.38
davisde01,"December 2, 1996","Muskegon, Michigan",0.4,59.9,0.0,63.5,107.0,15.4,4.2,3.2,3.6,59.9,Michigan State University,31st overall,2nd round,Boston Celtics,2016.0,6-11,"Muskegon in Muskegon, Michigan",Deyonta Davis,Center,Right,237lb,1340920.0
davised01,"June 5, 1989","Washington, District of Columbia",0.8,56.9,0.0,58.4,640.0,16.7,6.5,6.8,41.3,56.9,University of North Carolina,13th overall,1st round,Toronto Raptors,2010.0,6-10,"Benedictine in Richmond, Virginia",Ed Davis,Center and Power Forward,Left,225lb,3792922.75
davisgl01,"January 1, 1986","Baton Rouge, Louisiana",0.9,44.7,18.2,70.0,514.0,12.4,8.0,4.4,18.6,44.8,Louisiana State University,35th overall,2nd round,Seattle SuperSonics,2007.0,6-9,"Louisiana State University Laboratory School in Baton Rouge, Louisiana",Glen Davis,Power Forward and Center,Right,289lb,3818518.33
davishu01,"May 17, 1970","Winston-Salem, North Carolina",1.7,45.8,44.1,83.7,685.0,11.8,8.2,1.5,27.7,53.7,University of North Carolina,20th overall,1st round,New York Knicks,1992.0,6-5,"Lake Braddock Secondary in Burke, Virginia",Hubert Davis,Point Guard and Shooting Guard,Right,183lb,1400041.67
davisma02,"April 26, 1973","Thibodaux, Louisiana",1.3,44.2,24.6,65.5,230.0,11.9,5.5,3.0,2.3,45.5,"Howard College, Texas Tech University",48th overall,2nd round,Minnesota Timberwolves,1995.0,6-7,"Thibodaux in Thibodaux, Louisiana",Mark Davis,Small Forward,Right,210lb,176040.0
davispa01,"July 21, 1984","Detroit, Michigan",0.4,40.2,0.0,73.2,82.0,10.6,2.6,1.9,0.5,40.2,Michigan State University,34th overall,2nd round,Los Angeles Clippers,2006.0,6-11,"Rochester in Rochester, Michigan",Paul Davis,Power Forward and Center,Right,270lb,377269.5
davisri01,"September 23, 1979","Las Vegas, Nevada",3.3,44.6,36.1,78.1,736.0,14.7,13.5,3.5,28.0,48.0,University of Iowa,21st overall,1st round,Charlotte Hornets,1998.0,6-6,"North in Davenport, Iowa",Ricky Davis,Small Forward and Shooting Guard,Right,195lb,3572743.33
dawkijo01,"September 28, 1963","Washington, District of Columbia",5.5,45.6,33.0,85.7,541.0,14.7,11.1,2.5,21.8,47.4,Duke University,10th overall,1st round,San Antonio Spurs,1986.0,6-2,"Mackin in Washington, District of Columbia",Johnny Dawkins,Point Guard,Left,165lb,1230000.0
dayto01,"January 7, 1970","Decatur, Illinois",1.5,40.6,34.5,73.9,483.0,14.1,12.3,3.4,17.5,46.2,University of Arkansas,8th overall,1st round,Milwaukee Bucks,1992.0,6-6,"Hamilton in Memphis, Tennessee",Todd Day,Shooting Guard,Right,188lb,1500804.57
dayeau01,"June 5, 1988","Irvine, California",0.7,40.2,35.1,77.8,293.0,11.6,5.2,2.6,4.5,46.9,Gonzaga University,15th overall,1st round,Detroit Pistons,2009.0,6-11,"Woodbridge in Irvine, California",Austin Daye,Small Forward,Right,220lb,107500.0
declean01,"February 1, 1973","Detroit, Michigan",0.6,50.7,0.0,62.1,587.0,12.1,4.8,4.2,19.3,50.7,University of Florida,34th overall,2nd round,Golden State Warriors,1995.0,6-10,"Countryside in Clearwater, Florida",Andrew DeClercq,Center,Right,230lb,1431500.0
deherte01,"September 12, 1971","New York, New York",2.6,41.1,37.8,77.9,402.0,12.7,8.0,1.5,7.3,47.3,Seton Hall University,13th overall,1st round,Los Angeles Clippers,1993.0,6-2,"Saint Anthony's in Jersey City, New Jersey",Terry Dehere,Point Guard and Shooting Guard,Right,190lb,894291.67
dekkesa01,"May 6, 1994","Sheboygan, Wisconsin",0.8,47.8,28.8,60.6,200.0,12.7,5.5,3.0,5.4,52.5,University of Wisconsin,18th overall,1st round,Houston Rockets,2015.0,6-9,"Sheboygan Lutheran in Sheboygan, Wisconsin",Sam Dekker,Power Forward,Right,230lb,1720520.0
delnevi01,"August 9, 1966","Springfield, Massachusetts",3.2,47.5,35.9,84.0,771.0,13.5,9.1,2.3,40.6,49.5,North Carolina State University,29th overall,2nd round,Sacramento Kings,1988.0,6-4,"Suffield Academy in Suffield, Connecticut",Vinny Del Negro,Point Guard and Shooting Guard,Right,185lb,2500000.0
delebi01,"April 6, 1969","Fresno, California",1.1,52.8,14.3,69.1,413.0,16.5,11.0,6.2,22.8,52.8,"University of Maryland, University of Arizona",10th overall,1st round,Orlando Magic,1991.0,6-9,"Santa Monica in Santa Monica, California",Bison Dele,Center and Power Forward,Left,235lb,1855925.92
delkto01,"January 28, 1974","Covington, Tennessee",1.9,40.8,34.3,76.9,545.0,13.7,9.1,2.5,19.5,45.9,University of Kentucky,16th overall,1st round,Charlotte Hornets,1996.0,6-1,"Haywood in Brownsville, Tennessee",Tony Delk,Shooting Guard and Point Guard,Right,189lb,5294690.5
denglu01,"April 16, 1985","Wau, South Sudan",2.3,45.6,33.2,76.9,902.0,15.4,14.8,6.1,74.0,48.5,Duke University,7th overall,1st round,Phoenix Suns,2004.0,6-9,"Blair Academy in Blairstown, New Jersey",Luol Deng,Power Forward and Small Forward,Right,237lb,9765256.93
derozde01,"August 7, 1989","Compton, California",3.4,45.1,28.3,82.8,752.0,17.9,19.9,4.3,60.3,46.5,University of Southern California,9th overall,1st round,Toronto Raptors,2009.0,6-7,"Compton in Compton, California",DeMar DeRozan,Shooting Guard,Right,220lb,10387316.11
dialde01,"December 20, 1975","Detroit, Michigan",0.8,37.2,19.0,67.2,82.0,12.2,3.1,1.6,0.6,38.6,Eastern Michigan University,52nd overall,2nd round,San Antonio Spurs,1998.0,6-4,"Cass Technical in Detroit, Michigan",Derrick Dial,Shooting Guard,Right,184lb,324650.0
diallch01,"September 13, 1996","Kayes, Mali",0.4,58.5,25.0,74.7,133.0,17.3,5.5,4.6,5.0,58.6,University of Kansas,33rd overall,2nd round,Los Angeles Clippers,2016.0,6-9,"New American in Centereach, New York",Cheick Diallo,Power Forward,Right,220lb,928041.0
diallha01,"July 31, 1998","Queens, New York",0.3,45.5,16.7,61.0,51.0,10.1,3.7,1.9,0.8,46.7,University of Kentucky,45th overall,2nd round,Brooklyn Nets,2018.0,6-5,"Putnam Science Academy in Putnam, Connecticut",Hamidou Diallo,Shooting Guard,Right,198lb,NA
dickada01,"September 16, 1978","Portland, Oregon",2.5,40.1,34.1,83.1,300.0,12.9,5.8,1.4,5.9,46.0,"University of Washington, Gonzaga University",28th overall,1st round,Sacramento Kings,2002.0,6-0,"Prairie in Vancouver, Washington",Dan Dickau,Point Guard,Right,190lb,1632200.57
dickemi01,"June 25, 1975","Greenville, South Carolina",2.6,43.2,40.2,78.4,212.0,13.4,15.4,2.9,9.6,48.3,University of Arizona,14th overall,1st round,Houston Rockets,1998.0,6-5,"Federal Way in Seattle, Washington",Michael Dickerson,Shooting Guard,Right,190lb,2852193.67
dienetr01,"March 1, 1982","Fond du Lac, Wisconsin",2.4,38.8,35.3,84.7,179.0,12.5,4.8,1.4,5.6,49.5,Marquette University,38th overall,2nd round,Orlando Magic,2005.0,6-1,"Goodrich in Fond du Lac, Wisconsin",Travis Diener,Point Guard,Right,175lb,1184594.2
dienggo01,"January 18, 1990","Kebemer, Senegal",1.4,50.5,33.2,79.0,452.0,16.1,8.0,6.2,24.4,51.7,University of Louisville,21st overall,1st round,Utah Jazz,2013.0,6-11,"Huntington St. Joseph Prep in Huntington, West Virginia",Gorgui Dieng,Center and Power Forward,Right,252lb,4140340.6
dinwisp01,"April 6, 1993","Los Angeles, California",4.5,40.8,32.3,80.1,253.0,14.7,11.0,2.6,13.5,48.0,University of Colorado,38th overall,2nd round,Detroit Pistons,2014.0,6-6,"William Howard Taft in Woodland Hills, California",Spencer Dinwiddie,Point Guard,Right,210lb,949009.0
dioguik01,"September 11, 1983","Buffalo, New York",0.3,50.9,50.0,78.6,225.0,15.6,6.0,3.1,6.5,51.0,Arizona State University,9th overall,1st round,Golden State Warriors,2005.0,6-8,"Garland in Garland, Texas",Ike Diogu,Power Forward,Right,250lb,1554603.43
dixonju01,"October 9, 1978","Baltimore, Maryland",1.8,41.3,34.1,83.3,436.0,12.8,8.4,1.9,6.1,46.1,University of Maryland,17th overall,1st round,Washington Wizards,2002.0,6-3,"Calvert in Baltimore, Maryland",Juan Dixon,Point Guard and Shooting Guard,Right,164lb,1768479.71
doleami01,"June 15, 1977","San Antonio, Texas",0.6,43.9,12.5,79.1,587.0,10.8,4.9,3.3,12.7,43.9,University of Utah,12th overall,1st round,Orlando Magic,1998.0,6-11,"Central Catholic in Portland, Oregon",Michael Doleac,Center,Right,262lb,1984017.6
doolike01,"May 8, 1980","Ft. Lauderdale, Florida",2.2,41.6,34.9,79.9,728.0,11.5,7.0,1.3,18.5,46.7,University of Missouri,10th overall,1st round,Orlando Magic,2000.0,6-3,"Dillard in Fort Lauderdale, Florida",Keyon Dooling,Shooting Guard and Point Guard,Right,196lb,2343925.46
dorsejo01,"December 16, 1983","Baltimore, Maryland",0.4,53.4,0.0,37.5,130.0,12.1,2.6,3.9,2.9,53.4,University of Memphis,33rd overall,2nd round,Portland Trail Blazers,2008.0,6-8,"Laurinburg Institute in Laurinburg, North Carolina",Joey Dorsey,Power Forward and Center,Right,268lb,903094.6
dorsety01,"February 18, 1996","Pasadena, California",1.3,38.9,35.0,66.9,104.0,10.5,6.7,2.3,1.0,47.8,University of Oregon,41st overall,2nd round,Atlanta Hawks,2017.0,6-5,"Maranatha in Los Angeles, California",Tyler Dorsey,Shooting Guard,Right,183lb,815615.0
dotsoda01,"May 6, 1994","Houston, Texas",1.4,42.1,36.1,73.6,117.0,10.9,8.2,3.0,2.1,50.8,"University of Oregon, University of Houston",44th overall,2nd round,New York Knicks,2017.0,6-6,"Jack Yates in Houston, Texas",Damyean Dotson,Shooting Guard,Right,210lb,1100000.0
doubyqu01,"May 16, 1984","Brooklyn, New York",0.7,38.9,31.2,88.4,143.0,9.7,4.1,1.1,0.0,44.8,Rutgers University,19th overall,1st round,Sacramento Kings,2006.0,6-3,"St. Thomas Moore School in Oakdale, Connecticut",Quincy Douby,Point Guard,Right,175lb,1021849.75
douglsh01,"September 15, 1966","Washington, District of Columbia",5.9,48.4,26.7,67.8,765.0,15.1,11.0,2.2,32.9,49.5,Syracuse University,28th overall,2nd round,Miami Heat,1989.0,6-0,"Spingarn in Washington, District of Columbia",Sherman Douglas,Point Guard,Right,180lb,604187.0
douglto01,"March 16, 1986","Jonesboro, Georgia",2.3,40.4,35.4,82.4,394.0,13.2,7.6,2.2,12.1,48.6,"Auburn University, Florida State University",29th overall,1st round,Los Angeles Lakers,2009.0,6-2,"Jonesboro in Jonesboro, Georgia",Toney Douglas,Point Guard and Shooting Guard,Right,195lb,1985770.83
douglch01,"January 8, 1987","Detroit, Michigan",1.1,43.9,32.9,83.1,222.0,11.5,7.1,2.1,5.4,47.1,University of Memphis,40th overall,2nd round,New Jersey Nets,2008.0,6-7,"Cass Technical in Detroit, Michigan",Chris Douglas-Roberts,Small Forward and Shooting Guard,Right,200lb,1057572.22
dreilgr01,"November 7, 1962","Wichita, Kansas",0.4,46.7,33.3,64.9,474.0,7.4,2.1,2.1,4.0,46.9,"Wichita State University, University of Kansas",26th overall,2nd round,Indiana Pacers,1986.0,7-1,"Kapaun Mt. Carmel in Wichita, Kansas",Greg Dreiling,Center,Right,250lb,328437.5
drewbr01,"September 21, 1974","Baton Rouge, Louisiana",2.2,38.2,37.1,83.0,243.0,9.6,4.4,1.2,2.4,45.1,Valparaiso University,16th overall,1st round,Houston Rockets,1998.0,6-2,"Valparaiso in Valparaiso, Indiana",Bryce Drew,Point Guard,Right,185lb,1174193.33
drumman01,"August 10, 1993","Mount Vernon, New York",1.2,54.3,14.7,44.8,542.0,22.1,14.1,13.7,56.4,54.4,University of Connecticut,9th overall,1st round,Detroit Pistons,2012.0,6-11,"St. Thomas More School in Oakdale, Connecticut",Andre Drummond,Center,Right,279lb,9425237.83
duckwke01,"April 1, 1964","Harvey, Illinois",0.9,46.8,20.8,73.6,684.0,11.9,11.8,5.8,24.7,46.8,Eastern Illinois University,33rd overall,2nd round,San Antonio Spurs,1986.0,7-0,"Thornridge in Dolton, Illinois",Kevin Duckworth,Center,Right,275lb,1824700.0
dudlech02,"February 22, 1965","Stamford, Connecticut",0.4,41.2,0.0,45.8,886.0,10.7,3.9,6.2,26.2,41.2,Yale University,75th overall,4th round,Cleveland Cavaliers,1987.0,6-11,"Torrey Pines in Encinitas, California",Chris Dudley,Power Forward and Center,Right,235lb,2553666.67
dudleja01,"July 10, 1985","San Diego, California",1.6,46.5,39.2,73.2,847.0,12.7,7.7,3.3,42.1,54.9,Boston College,22nd overall,1st round,Charlotte Bobcats,2007.0,6-7,"Horizon in San Diego, California",Jared Dudley,Small Forward and Power Forward and Shooting Guard,Right,237lb,4321638.91
duhonch01,"August 31, 1982","Mamou, Louisiana",4.4,39.3,36.3,78.4,606.0,10.8,6.5,2.3,25.0,48.8,Duke University,38th overall,2nd round,Chicago Bulls,2004.0,6-1,"Salmen in Slidell, Louisiana",Chris Duhon,Point Guard,Right,185lb,3307407.7
dumarjo01,"May 24, 1963","Shreveport, Louisiana",4.5,46.0,38.2,84.3,1018.0,15.3,16.1,2.2,86.2,49.8,McNeese State University,18th overall,1st round,Detroit Pistons,1985.0,6-3,"Natchitoches Central in Natchitoches, Louisiana",Joe Dumars,Point Guard and Shooting Guard,Right,190lb,1528780.0
dumasri02,"May 19, 1969","Tulsa, Oklahoma",1.1,50.9,23.1,69.4,102.0,15.9,10.6,3.4,4.5,51.1,Oklahoma State University,46th overall,2nd round,Phoenix Suns,1991.0,6-7,"Booker T. Washington in Tulsa, Oklahoma",Richard Dumas,Power Forward and Small Forward,Right,200lb,555000.0
dumasto01,"August 25, 1972","Chicago, Illinois",1.2,40.4,32.7,60.8,156.0,12.0,7.3,1.3,1.3,45.4,University of Missouri-Kansas City,19th overall,1st round,Dallas Mavericks,1994.0,6-6,"Millington in Millington, Tennessee",Tony Dumas,Shooting Guard,Right,190lb,1015000.0
duncati01,"April 25, 1976","St. Croix, U.S. VirgIslands",3.0,50.6,17.9,69.6,1392.0,24.2,19.0,10.8,206.4,50.7,Wake Forest University,1st overall,1st round,San Antonio Spurs,1997.0,6-11,"Saint Dunstan's Episcopal in Saint Croix, U.S. Virgin Islands",Tim Duncan,Center and Power Forward,Right,250lb,11593888.33
dunlemi02,"September 15, 1980","Fort Worth, Texas",2.2,44.1,37.7,80.3,986.0,13.9,11.2,4.3,58.5,51.4,Duke University,3rd overall,1st round,Golden State Warriors,2002.0,6-9,"Jesuit in Portland, Oregon",Mike Dunleavy,Small Forward and Shooting Guard and Power Forward,Right,230lb,5282073.5
dunnkr01,"March 18, 1994","New London, Connecticut",4.4,41.7,32.3,72.3,176.0,11.8,8.6,3.3,1.6,45.0,Providence College,5th overall,1st round,Minnesota Timberwolves,2016.0,6-4,"New London in New London, Connecticut",Kris Dunn,Point Guard,Right,205lb,3959640.0
duranke01,"September 29, 1988","Washington, District of Columbia",4.1,49.3,38.1,88.3,849.0,25.2,27.0,7.1,141.7,54.2,University of Texas at Austin,2nd overall,1st round,Seattle SuperSonics,2007.0,6-9,"Montrose Christian School in Rockville, Maryland",Kevin Durant,Power Forward and Small Forward and Shooting Guard,Right,240lb,14564456.18
durhapa01,"March 10, 1967","Dallas, Texas",0.9,46.9,19.2,66.7,64.0,11.4,5.0,1.7,0.7,47.9,Colorado State University,35th overall,2nd round,Dallas Mavericks,1989.0,6-7,"Wilmer-Hutchins in Dallas, Texas",Pat Durham,Small Forward,Right,210lb,126000.0
